"LGD2014","LGD2014NAME","DZ2021","DZ2021_name","SDZ2021","SDZ2021_name"
"N09000003","Belfast","N20000769","Oldpark_R5","N21000175","Oldpark_R"
"N09000003","Belfast","N20000766","Oldpark_R4","N21000175","Oldpark_R"
"N09000003","Belfast","N20000780","Oldpark_S4","N21000176","Oldpark_S"
"N09000003","Belfast","N20000782","Oldpark_S5","N21000176","Oldpark_S"
"N09000003","Belfast","N20000851","Castle_U4","N21000196","Castle_U"
"N09000003","Belfast","N20000849","Castle_U3","N21000196","Castle_U"
"N09000003","Belfast","N20000846","Castle_U1","N21000196","Castle_U"
"N09000003","Belfast","N20000826","Castle_N1","N21000190","Castle_N"
"N09000003","Belfast","N20000850","Castle_T4","N21000195","Castle_T"
"N09000003","Belfast","N20000843","Castle_S2","N21000194","Castle_S"
"N09000003","Belfast","N20000829","Castle_K4","N21000188","Castle_K"
"N09000003","Belfast","N20000839","Castle_R4","N21000193","Castle_R"
"N09000003","Belfast","N20000833","Castle_R1","N21000193","Castle_R"
"N09000003","Belfast","N20000847","Castle_T3","N21000195","Castle_T"
"N09000003","Belfast","N20000842","Castle_T1","N21000195","Castle_T"
"N09000003","Belfast","N20000845","Castle_S3","N21000194","Castle_S"
"N09000003","Belfast","N20000844","Castle_T2","N21000195","Castle_T"
"N09000003","Belfast","N20000831","Castle_N2","N21000190","Castle_N"
"N09000003","Belfast","N20000841","Castle_S1","N21000194","Castle_S"
"N09000003","Belfast","N20000837","Castle_P2","N21000191","Castle_P"
"N09000003","Belfast","N20000835","Castle_P1","N21000191","Castle_P"
"N09000003","Belfast","N20000832","Castle_N3","N21000190","Castle_N"
"N09000003","Belfast","N20000828","Castle_K3","N21000188","Castle_K"
"N09000003","Belfast","N20000823","Castle_K2","N21000188","Castle_K"
"N09000003","Belfast","N20000821","Castle_K1","N21000188","Castle_K"
"N09000003","Belfast","N20000817","Castle_H5","N21000186","Castle_H"
"N09000003","Belfast","N20000810","Castle_H2","N21000186","Castle_H"
"N09000003","Belfast","N20000822","Castle_L2","N21000189","Castle_L"
"N09000003","Belfast","N20000813","Castle_H4","N21000186","Castle_H"
"N09000003","Belfast","N20000811","Castle_H3","N21000186","Castle_H"
"N09000003","Belfast","N20000812","Castle_F3","N21000184","Castle_F"
"N09000003","Belfast","N20000804","Castle_H1","N21000186","Castle_H"
"N09000003","Belfast","N20000797","Castle_C3","N21000181","Castle_C"
"N09000003","Belfast","N20000824","Castle_L3","N21000189","Castle_L"
"N09000003","Belfast","N20000803","Castle_F2","N21000184","Castle_F"
"N09000003","Belfast","N20000799","Castle_D2","N21000182","Castle_D"
"N09000003","Belfast","N20000801","Castle_E3","N21000183","Castle_E"
"N09000003","Belfast","N20000800","Castle_E2","N21000183","Castle_E"
"N09000003","Belfast","N20000798","Castle_E1","N21000183","Castle_E"
"N09000003","Belfast","N20000795","Castle_C2","N21000181","Castle_C"
"N09000003","Belfast","N20000738","Oldpark_G3","N21000167","Oldpark_G"
"N09000003","Belfast","N20000840","Castle_R5","N21000193","Castle_R"
"N09000003","Belfast","N20000808","Castle_D3","N21000182","Castle_D"
"N09000003","Belfast","N20000836","Castle_R2","N21000193","Castle_R"
"N09000003","Belfast","N20000838","Castle_R3","N21000193","Castle_R"
"N09000003","Belfast","N20000830","Castle_L4","N21000189","Castle_L"
"N09000003","Belfast","N20000818","Castle_L1","N21000189","Castle_L"
