PC5,ACTIVE,X,Y,LGD2014,LGD2014NAME,WARD2014,WARD2014NAME,DEA2014,DEA2014NAME,AA2008,AA2008NAME,WARD1992,WARD1992NAME,LGD1992,LGD1992NAME,HSCT,HSCTNAME,DZ2021,DZ2021_name,SDZ2021,SDZ2021_name,AA2024,AA2024NAME,SA2011,SOA2001,SOA2001NAME,SOA2001_OLD,SOA2001NAME_OLD,COA2001,SETTLEMENT15,SETTLEMENT15_URBAN_RURAL
BT205AW,1,350563,381952,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003636,Bangor_Central_F3,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205AX,0,999999,999999,000000000,NA,000000000,NA,000000000,NA,000000000,NA,000000,NA,0000,NA,N/A,N/A,000000000,NA,000000000,NA,000000000,NA,000000000,00000000,NA,00000000,NA,0000000000,0000000000000000000000000000000,00000
BT205AY,1,350598,381982,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003636,Bangor_Central_F3,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205AZ,1,350751,381976,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003631,Bangor_Central_F1,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205BA,1,350826,381972,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003631,Bangor_Central_F1,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205BB,1,350886,381969,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003631,Bangor_Central_F1,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205BD,1,350848,381998,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003624,Bangor_Central_A3,N21000815,Bangor_Central_A,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205BE,1,350728,382010,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003624,Bangor_Central_A3,N21000815,Bangor_Central_A,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205BF,0,999999,999999,000000000,NA,000000000,NA,000000000,NA,000000000,NA,000000,NA,0000,NA,N/A,N/A,000000000,NA,000000000,NA,000000000,NA,000000000,00000000,NA,00000000,NA,0000000000,0000000000000000000000000000000,00000
BT205BG,1,350606,382012,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003624,Bangor_Central_A3,N21000815,Bangor_Central_A,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205BH,1,350767,382143,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003624,Bangor_Central_A3,N21000815,Bangor_Central_A,N05000013,North Down,N00004267,95XX17S2,Harbour_2,95XX17S2,Harbour_2,95XX170007,BANGOR,URBAN
BT205BJ,0,351250,382050,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX02,BALLYHOLME,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003626,Bangor_Central_D1,N21000818,Bangor_Central_D,N05000013,North Down,N00004123,95XX02W1,Ballyholme,95XX02W1,Ballyholme,95XX020001,BANGOR,URBAN
